,address1,city,cnty_cd,cooperator_address1,cooperator_address2,cooperator_city,cooperator_name,cooperator_state,cooperator_zip,county,description,fac_desc_short,fac_fax,fac_id,fac_opn_dat,fac_phone,fac_zip,facility_location,facility_name,latitude,longitude,main_site_facid,main_site_name,opcert_num,operator_address1,operator_address2,operator_city,operator_name,operator_state,operator_zip,ownership_type,region_office,ro_id,state
59,One Healthy Way,Oceanside,29,One Gustave L. Levy Place,,New York,"Mount Sinai Hospitals Group, Inc.",New York,10029.0,Nassau,Hospital,HOSP,,527,1901-01-01T00:00:00.000,5166323000.0,11572,"{'type': 'Point', 'coordinates': [-73.6315, 40.649601]}",South Nassau Communities Hospital,40.649601,-73.6315,,,2950001H,2445 Oceanside Road,,Oceanside,South Nassau Communities Hospital Inc,New York,11572,Not for Profit Corporation,Metropolitan Area Regional Office - Long Island,7,New York
60,325 East Bay Drive,Long Beach,29,One Gustave L. Levy Place,,New York,"Mount Sinai Hospitals Group, Inc.",New York,10029.0,Nassau,Hospital,HOSP,,9691,2014-06-30T00:00:00.000,5168701010.0,11561,"{'type': 'Point', 'coordinates': [-73.654958, 40.594237]}",South Nassau Communities Hospital Off-Campus Emergency Department,40.594237,-73.654958,527.0,South Nassau Communities Hospital,2950001H,2445 Oceanside Road,,Oceanside,South Nassau Communities Hospital Inc,New York,11572,Not for Profit Corporation,Metropolitan Area Regional Office - Long Island,7,New York
61,621 Tenth Street,Niagara Falls,31,,,,,New York,,Niagara,Hospital,HOSP,,574,1901-01-01T00:00:00.000,7162784000.0,14302,"{'type': 'Point', 'coordinates': [-79.0504, 43.094048]}",Niagara Falls Memorial Medical Center,43.094048,-79.0504,,,3102000H,621 Tenth St,,Niagara Falls,Niagara Falls Memorial Medical Center,New York,14302,Not for Profit Corporation,Western Regional Office - Buffalo,1,New York
62,270 Park Avenue,Huntington,51,2000 Marcus Ave.,,New Hyde Park,"Northwell Healthcare, Inc.",New York,11042.0,Suffolk,Hospital,HOSP,,913,1901-01-01T00:00:00.000,6313512200.0,11743,"{'type': 'Point', 'coordinates': [-73.417442, 40.879513]}",Huntington Hospital,40.879513,-73.417442,,,5153000H,270 Park Avenue,,Huntington,Huntington Hospital Association,New York,11743,Not for Profit Corporation,Metropolitan Area Regional Office - Long Island,7,New York
63,515 Main Street,Olean,4,100 High Street,,Buffalo,Kaleida Health,New York,14203.0,Cattaraugus,Hospital,HOSP,7163756394.0,66,1901-01-01T00:00:00.000,7163756171.0,14760,"{'type': 'Point', 'coordinates': [-78.42688, 42.089844]}",Olean General Hospital,42.089844,-78.42688,,,0401001H,515 Main Street,,Olean,Olean General Hospital Inc,New York,14760,Not for Profit Corporation,Western Regional Office - Buffalo,1,New York
64,1300 Massachusetts Avenue,Troy,41,20555 Victor Parkway,,Livonia,Trinity Health Corporation,New York,48152.0,Rensselaer,Hospital,HOSP,,755,1979-08-01T00:00:00.000,5182685000.0,12180,"{'type': 'Point', 'coordinates': [-73.675735, 42.743382]}",Samaritan Hospital - St. Mary's Campus,42.743382,-73.675735,756.0,Samaritan Hospital,4102002H,2215 Burdett Avenue,,Troy,Samaritan Hospital of Troy NY Inc,New York,12180,Not for Profit Corporation,Capital District Regional Office,4,New York
65,2215 Burdett Avenue,Troy,41,20555 Victor Parkway,,Livonia,Trinity Health Corporation,New York,48152.0,Rensselaer,Hospital,HOSP,,756,1901-01-01T00:00:00.000,5182713300.0,12180,"{'type': 'Point', 'coordinates': [-73.671455, 42.733574]}",Samaritan Hospital,42.733574,-73.671455,,,4102002H,2215 Burdett Avenue,,Troy,Samaritan Hospital of Troy NY Inc,New York,12180,Not for Profit Corporation,Capital District Regional Office,4,New York
66,160 North Midland Avenue,Nyack,43,111 East 210th Street,,Bronx,"Montefiore Health System, Inc",New York,10467.0,Rockland,Hospital,HOSP,,776,1901-01-01T00:00:00.000,8453482000.0,10960,"{'type': 'Point', 'coordinates': [-73.924957, 41.096249]}",Montefiore Nyack,41.096249,-73.924957,,,4324000H,Midland Avenue,,Nyack,Montefiore Nyack Hospital,New York,10960,Not for Profit Corporation,Metropolitan Area Regional Office - New Rochelle,6,New York
67,3 Mercycare Lane,Guilderland,1,20555 Victor Parkway,,Livonia,Trinity Health Corporation,New York,48152.0,Albany,Hospital,HOSP,,9431,2012-12-28T00:00:00.000,5184526701.0,12084,"{'type': 'Point', 'coordinates': [-73.904968, 42.701252]}",St. Peter's Addiction Recovery Center,42.701252,-73.904968,5.0,St Peters Hospital,0101004H,315 South Manning Blvd,,Albany,St Peters Hospital Inc,New York,12208,Not for Profit Corporation,Capital District Regional Office,4,New York
68,1270 Belmont Avenue,Schenectady,46,20555 Victor Parkway,,Livonia,Trinity Health Corporation,New York,48152.0,Schenectady,Hospital,HOSP,,831,1901-01-01T00:00:00.000,5183824500.0,12308,"{'type': 'Point', 'coordinates': [-73.913651, 42.82206]}",Sunnyview Hospital and Rehabilitation Center,42.82206,-73.913651,,,4601004H,1270 Belmont Avenue,,Schenectady,Sunnyview Hospital and Rehabilitation Center Inc,New York,12308,Not for Profit Corporation,Capital District Regional Office,4,New York
69,315 South Manning Blvd,Albany,1,20555 Victor Parkway,,Livonia,Trinity Health Corporation,New York,48152.0,Albany,Hospital,HOSP,,5,1901-01-01T00:00:00.000,5184541550.0,12208,"{'type': 'Point', 'coordinates': [-73.803879, 42.657539]}",St Peters Hospital,42.657539,-73.803879,,,0101004H,315 South Manning Blvd,,Albany,St Peters Hospital Inc,New York,12208,Not for Profit Corporation,Capital District Regional Office,4,New York
70,600 Northern Blvd,Albany,1,20555 Victor Parkway,,Livonia,Trinity Health Corporation,New York,48152.0,Albany,Hospital,HOSP,,4,1901-01-01T00:00:00.000,5184713221.0,12204,"{'type': 'Point', 'coordinates': [-73.749268, 42.674271]}",Albany Memorial Hospital,42.674271,-73.749268,,,0101003H,Memorial Hospital,,Albany,"Memorial Hospital, Albany NY",New York,12204,Not for Profit Corporation,Capital District Regional Office,4,New York
71,102-01 66th Road,Forest Hills,7096,2000 Marcus Ave.,,New Hyde Park,"Northwell Quality and Medical Affairs, Inc.",New York,11042.0,Queens,Hospital,HOSP,,1638,1901-01-01T00:00:00.000,5165624060.0,11375,"{'type': 'Point', 'coordinates': [-73.851036, 40.728745]}",Long Island Jewish Forest Hills,40.728745,-73.851036,1630.0,Long Island Jewish Medical Center,7003004H,270-05 76 Avenue,,New Hyde Park,Long Island Jewish Medical Center,New York,11040,Not for Profit Corporation,Metropolitan Area Regional Office - New York City,5,New York
72,270-05 76th Ave,New Hyde Park,7096,2000 Marcus Ave.,,New Hyde Park,"Northwell Quality and Medical Affairs, Inc.",New York,11042.0,Queens,Hospital,HOSP,,1630,1901-01-01T00:00:00.000,7184707764.0,11040,"{'type': 'Point', 'coordinates': [-73.706848, 40.753349]}",Long Island Jewish Medical Center,40.753349,-73.706848,,,7003004H,270-05 76 Avenue,,New Hyde Park,Long Island Jewish Medical Center,New York,11040,Not for Profit Corporation,Metropolitan Area Regional Office - New York City,5,New York
73,30 Seventh Avenue,New York,7093,2000 Marcus Ave.,,New Hyde Park,"Northwell Quality and Medical Affairs, Inc.",New York,11042.0,New York,Hospital,HOSP,,9700,2014-07-17T00:00:00.000,5164658018.0,10011,"{'type': 'Point', 'coordinates': [-74.000488, 40.737576]}",Lenox Health Greenwich Village,40.737576,-74.000488,1450.0,Lenox Hill Hospital,7002017H,100 East 77 Street,,New York,Lenox Hill Hospital,New York,10021,Not for Profit Corporation,Metropolitan Area Regional Office - New York City,5,New York
74,300 Community Drive,Manhasset,29,2000 Marcus Ave.,,New Hyde Park,"Northwell Quality and Medical Affairs, Inc.",New York,11042.0,Nassau,Hospital,HOSP,,541,1901-01-01T00:00:00.000,5165620100.0,11030,"{'type': 'Point', 'coordinates': [-73.702888, 40.77924]}",North Shore University Hospital,40.77924,-73.702888,,,2951001H,300 Community Drive,,Manhasset,North Shore University Hospital Inc,New York,11030,Not for Profit Corporation,Metropolitan Area Regional Office - Long Island,7,New York
75,301 East Main St,Bay Shore,51,2000 Marcus Ave.,,New Hyde Park,"Northwell Quality and Medical Affairs, Inc.",New York,11042.0,Suffolk,Hospital,HOSP,,924,1901-01-01T00:00:00.000,6319683000.0,11706,"{'type': 'Point', 'coordinates': [-73.240372, 40.725014]}",Southside Hospital,40.725014,-73.240372,,,5154000H,Montauk Highway,,Bayshore,Southside Hospital Inc,New York,11706,Not for Profit Corporation,Metropolitan Area Regional Office - Long Island,7,New York
76,375 Seguine Avenue,Staten Island,7097,2000 Marcus Ave.,,New Hyde Park,"Northwell Quality and Medical Affairs, Inc.",New York,11042.0,Richmond,Hospital,HOSP,,1737,1979-08-01T00:00:00.000,7182269515.0,10309,"{'type': 'Point', 'coordinates': [-74.196808, 40.516773]}",Staten Island University Hosp-South,40.516773,-74.196808,1740.0,Staten Island University Hosp-North,7004003H,256 Mason Avenue,,Staten Island,Staten Island University Hospital,New York,10305,Not for Profit Corporation,Metropolitan Area Regional Office - New York City,5,New York
77,221 Jericho Turnpike,Syosset,29,2000 Marcus Ave.,,New Hyde Park,"Northwell Quality and Medical Affairs, Inc.",New York,11042.0,Nassau,Hospital,HOSP,,550,1984-11-18T00:00:00.000,5164966400.0,11791,"{'type': 'Point', 'coordinates': [-73.508614, 40.810238]}",Syosset Hospital,40.810238,-73.508614,541.0,North Shore University Hospital,2951001H,300 Community Drive,,Manhasset,North Shore University Hospital Inc,New York,11030,Not for Profit Corporation,Metropolitan Area Regional Office - Long Island,7,New York
78,100 East 77th Street,New York,7093,2000 Marcus Ave.,,New Hyde Park,"Northwell Quality and Medical Affairs, Inc.",New York,11042.0,New York,Hospital,HOSP,,1450,1901-01-01T00:00:00.000,2124342060.0,10021,"{'type': 'Point', 'coordinates': [-73.960632, 40.773907]}",Lenox Hill Hospital,40.773907,-73.960632,,,7002017H,100 East 77 Street,,New York,Lenox Hill Hospital,New York,10021,Not for Profit Corporation,Metropolitan Area Regional Office - New York City,5,New York
79,101 St Andrews Lane,Glen Cove,29,2000 Marcus Ave.,,New Hyde Park,"Northwell Quality and Medical Affairs, Inc.",New York,11042.0,Nassau,Hospital,HOSP,,490,1901-01-01T00:00:00.000,5166747588.0,11542,"{'type': 'Point', 'coordinates': [-73.62159, 40.871731]}",Glen Cove Hospital,40.871731,-73.62159,,,2901000H,St Andrews Lane,,Glen Cove,Glen Cove Hospital,New York,11542,Not for Profit Corporation,Metropolitan Area Regional Office - Long Island,7,New York
80,400 East Main Street,Mount Kisco,59,2000 Marcus Ave.,,New Hyde Park,"Northwell Healthcare, Inc.",New York,11042.0,Westchester,Hospital,HOSP,,1117,1901-01-01T00:00:00.000,9146661303.0,10549,"{'type': 'Point', 'coordinates': [-73.72451, 41.196774]}",Northern Westchester Hospital,41.196774,-73.72451,,,5920000H,400 East Main St,,Mt Kisco,Northern Westchester Hosp Assoc Inc,New York,10549,Not for Profit Corporation,Metropolitan Area Regional Office - New Rochelle,6,New York
81,888 Old Country Road,Plainview,29,2000 Marcus Ave.,,New Hyde Park,"Northwell Quality and Medical Affairs, Inc.",New York,11042.0,Nassau,Hospital,HOSP,,552,1979-02-01T00:00:00.000,5167193000.0,11803,"{'type': 'Point', 'coordinates': [-73.478264, 40.774471]}",Plainview Hospital,40.774471,-73.478264,,,2952005H,888 Old County Road,,Plainview,Plainview Hospital,New York,11803,Not for Profit Corporation,Metropolitan Area Regional Office - Long Island,7,New York
82,900 Franklin Avenue,Valley Stream,29,2000 Marcus Ave.,,New Hyde Park,"Northwell Quality and Medical Affairs, Inc.",New York,11042.0,Nassau,Hospital,HOSP,,518,1901-01-01T00:00:00.000,5162566000.0,11580,"{'type': 'Point', 'coordinates': [-73.685814, 40.681789]}",Long Island Jewish Valley Stream,40.681789,-73.685814,1630.0,Long Island Jewish Medical Center,7003004H,270-05 76 Avenue,,New Hyde Park,Long Island Jewish Medical Center,New York,11040,Not for Profit Corporation,Metropolitan Area Regional Office - Long Island,7,New York
83,475 Seaview Avenue,Staten Island,7097,2000 Marcus Ave.,,New Hyde Park,"Northwell Quality and Medical Affairs, Inc.",New York,11042.0,Richmond,Hospital,HOSP,,1740,1901-01-01T00:00:00.000,7182269515.0,10305,"{'type': 'Point', 'coordinates': [-74.086998, 40.584141]}",Staten Island University Hosp-North,40.584141,-74.086998,,,7004003H,256 Mason Avenue,,Staten Island,Staten Island University Hospital,New York,10305,Not for Profit Corporation,Metropolitan Area Regional Office - New York City,5,New York
84,51 N Route 9W,West Haverstraw,43,,,,,New York,,Rockland,Hospital,HOSP,,775,1901-01-01T00:00:00.000,8457864000.0,10993,"{'type': 'Point', 'coordinates': [-73.986, 41.213886]}",Helen Hayes Hospital,41.213886,-73.986,,,4322000H,Empire State Plaza,Corning Tower  Room 1683,Albany,New York State Department of Health,New York,12237,State,Metropolitan Area Regional Office - New Rochelle,6,New York
85,396 Broadway,Kingston,55,"100 Woods Road, Taylor Pavilion 2nd Floor",,Valhalla,Westchester County Health Care Corporation,New York,10595.0,Ulster,Hospital,HOSP,8453313238.0,990,1901-01-01T00:00:00.000,8453342750.0,12401,"{'type': 'Point', 'coordinates': [-73.995453, 41.92643]}",HealthAlliance Hospital Broadway Campus,41.92643,-73.995453,,,5501001H,396 Broadway,,Kingston,HealthAlliance Hospital Broadway Campus,New York,12401,Not for Profit Corporation,Metropolitan Area Regional Office - New Rochelle,6,New York
86,1000 Montauk Highway,West Islip,51,1 Huntington Quadrangle,,Melville,"Catholic Health System of Long Island, Inc.",New York,11747.0,Suffolk,Hospital,HOSP,,925,1979-02-01T00:00:00.000,6313763000.0,11795,"{'type': 'Point', 'coordinates': [-73.286324, 40.696751]}",Good Samaritan Hospital Medical Center,40.696751,-73.286324,,,5154001H,1000 Montauk Highway,,West Islip,Good Samaritan Hospital Medical Center,New York,11795,Not for Profit Corporation,Metropolitan Area Regional Office - Long Island,7,New York
87,701 North Broadway,Sleepy Hollow,59,2000 Marcus Ave.,,New Hyde Park,"Northwell Healthcare, Inc.",New York,11042.0,Westchester,Hospital,HOSP,,1129,1901-01-01T00:00:00.000,9143663000.0,10591,"{'type': 'Point', 'coordinates': [-73.859665, 41.107639]}",Phelps Hospital,41.107639,-73.859665,,,5932000H,701 N Broadway,,North Tarrytown,Phelps Memorial Hospital Association,New York,10591,Not for Profit Corporation,Metropolitan Area Regional Office - New Rochelle,6,New York
88,105 Marys Avenue,Kingston,55,"100 Woods Road, Taylor Pavilion 2nd Floor",,Valhalla,Westchester County Health Care Corporation,New York,10595.0,Ulster,Hospital,HOSP,,989,1901-01-01T00:00:00.000,8453382500.0,12401,"{'type': 'Point', 'coordinates': [-73.999237, 41.922276]}",HealthAlliance Hospital Mary's Avenue Campus,41.922276,-73.999237,,,5501000H,105 Mary's Avenue,,Kingston,HealthAlliance Hospital Mary's Avenue Campus,New York,12401,Not for Profit Corporation,Metropolitan Area Regional Office - New Rochelle,6,New York
89,1545 Atlantic Avenue,Brooklyn,7095,1 Brookdale Plaza,Care of Alex Rovt Chairman of the Board,Brooklyn,"One Brooklyn Health System, Inc.",New York,11212.0,Kings,Hospital,HOSP,,1309,1980-04-24T00:00:00.000,7189357000.0,11213,"{'type': 'Point', 'coordinates': [-73.937515, 40.67794]}",Interfaith Medical Center,40.67794,-73.937515,,,7001046H,555 Prospect Place,,Brooklyn,Interfaith Medical Center,New York,11238,Not for Profit Corporation,Metropolitan Area Regional Office - New York City,5,New York
90,134 Homer Avenue,Cortland,11,1 Guthrie Square,,Sayre,The Guthrie Clinic,New York,18840.0,Cortland,Hospital,HOSP,,158,1901-01-01T00:00:00.000,6077567525.0,13045,"{'type': 'Point', 'coordinates': [-76.186195, 42.609051]}",Guthrie Cortland Medical Center,42.609051,-76.186195,,,1101000H,134 Homer Avenue,,Cortland,Guthrie Cortland Medical Center,New York,13045,Not for Profit Corporation,Central New York Regional Office,3,New York
91,2605 Harlem Road,Cheektowaga,14,144 Genesee Street,,Buffalo,"Catholic Health System, Inc.",New York,14203.0,Erie,Hospital,HOSP,,292,1901-01-01T00:00:00.000,7168912400.0,14225,"{'type': 'Point', 'coordinates': [-78.784241, 42.914642]}",Sisters of Charity Hospital - St Joseph Campus,42.914642,-78.784241,218.0,Sisters of Charity Hospital,1401013H,2157 Main Street,,Buffalo,Sisters of Charity Hospital of Buffalo New York Inc,New York,14214,Not for Profit Corporation,Western Regional Office - Buffalo,1,New York
92,2950 Elmwood Avenue,Kenmore,14,144 Genesee Street,,Buffalo,"Catholic Health System, Inc.",New York,14203.0,Erie,Hospital,HOSP,,267,1901-01-01T00:00:00.000,7164476100.0,14217,"{'type': 'Point', 'coordinates': [-78.878754, 42.977848]}",Kenmore Mercy Hospital,42.977848,-78.878754,,,1404000H,2950 Elmwood Avenue,,Kenmore,Kenmore Mercy Hospital,New York,14217,Not for Profit Corporation,Western Regional Office - Buffalo,1,New York
93,565 Abbott Road,Buffalo,14,144 Genesee Street,,Buffalo,"Catholic Health System, Inc.",New York,14203.0,Erie,Hospital,HOSP,,213,1901-01-01T00:00:00.000,7168267000.0,14220,"{'type': 'Point', 'coordinates': [-78.812859, 42.84853]}",Mercy Hospital of Buffalo,42.84853,-78.812859,,,1401008H,565 Abbott Road,,Buffalo,Mercy Hospital of Buffalo Inc,New York,14220,Not for Profit Corporation,Western Regional Office - Buffalo,1,New York
94,3669 Southwestern Blvd,Orchard Park,14,144 Genesee Street,,Buffalo,"Catholic Health System, Inc.",New York,14203.0,Erie,Hospital,HOSP,,1723,2007-02-02T00:00:00.000,7166620500.0,14127,"{'type': 'Point', 'coordinates': [-78.77224, 42.781742]}",Mercy Hospital - Mercy Hospital Orchard Park Division,42.781742,-78.77224,213.0,Mercy Hospital of Buffalo,1401008H,565 Abbott Road,,Buffalo,Mercy Hospital of Buffalo Inc,New York,14220,Not for Profit Corporation,Western Regional Office - Buffalo,1,New York
95,2157 Main Street,Buffalo,14,144 Genesee Street,,Buffalo,"Catholic Health System, Inc.",New York,14203.0,Erie,Hospital,HOSP,,218,1901-01-01T00:00:00.000,7168621000.0,14214,"{'type': 'Point', 'coordinates': [-78.849953, 42.92905]}",Sisters of Charity Hospital,42.92905,-78.849953,,,1401013H,2157 Main Street,,Buffalo,Sisters of Charity Hospital of Buffalo New York Inc,New York,14214,Not for Profit Corporation,Western Regional Office - Buffalo,1,New York
96,5300 Military Road,Lewiston,31,144 Genesee Street,,Buffalo,"Catholic Health System, Inc.",New York,14203.0,Niagara,Hospital,HOSP,,583,1979-02-01T00:00:00.000,7162974800.0,14092,"{'type': 'Point', 'coordinates': [-79.030556, 43.154659]}",Mount St Marys Hospital and Health Center,43.154659,-79.030556,,,3121001H,5300 Military Road,,Lewiston,Mount St Marys Hospital of Niagara Falls,New York,14092,Not for Profit Corporation,Western Regional Office - Buffalo,1,New York
97,45 Reade Place,Poughkeepsie,13,"1351 Route 55, Suite 200",,LaGrangeville,"HQ-WCHN Health System, Inc.",New York,12540.0,Dutchess,Hospital,HOSP,,181,1901-01-01T00:00:00.000,8454548500.0,12601,"{'type': 'Point', 'coordinates': [-73.935799, 41.694523]}",Vassar Brothers Medical Center,41.694523,-73.935799,,,1302001H,45 Reade Place,,Poughkeepsie,"Health Quest Systems, Inc.",New York,12601,Not for Profit Corporation,Metropolitan Area Regional Office - New Rochelle,6,New York
98,6511 Springbrook Avenue,Rhinebeck,13,"1351 Route 55, Suite 200",,LaGrangeville,"HQ-WCHN Health System, Inc.",New York,12540.0,Dutchess,Hospital,HOSP,,192,1901-01-01T00:00:00.000,8458713001.0,12572,"{'type': 'Point', 'coordinates': [-73.912331, 41.934223]}",Northern Dutchess Hospital,41.934223,-73.912331,,,1327000H,Springbrook Avenue,,Rhinebeck,Northern Dutchess Hospital Inc,New York,12572,Not for Profit Corporation,Metropolitan Area Regional Office - New Rochelle,6,New York
99,670 Stoneleigh Avenue,Carmel,39,"1351 Route 55, Suite 200",,LaGrangeville,"HQ-WCHN Health System, Inc.",New York,12540.0,Putnam,Hospital,HOSP,,752,1901-01-01T00:00:00.000,8452795711.0,10512,"{'type': 'Point', 'coordinates': [-73.664413, 41.384766]}",Putnam Hospital Center,41.384766,-73.664413,,,3950000H,Stoneleigh Avenue,,Carmel,"Health Quest Systems, Inc.",New York,10512,Not for Profit Corporation,Metropolitan Area Regional Office - New Rochelle,6,New York
100,555 St. Joseph's Boulevard,Elmira,7,600 Roe Avenue,,Elmira,Arnot Health Inc.,New York,14905.0,Chemung,Hospital,HOSP,,118,1901-01-01T00:00:00.000,6077336541.0,14901,"{'type': 'Point', 'coordinates': [-76.79686, 42.091446]}",St. Joseph's Hospital,42.091446,-76.79686,116.0,Arnot Ogden Medical Center,0701000H,600 Roe Avenue,,Elmira,Arnot Ogden Medical Center,New York,14901,Not for Profit Corporation,Western Regional Office - Rochester,2,New York
101,150 55th Street,Brooklyn,7095,,,,,New York,,Kings,Hospital,HOSP,,10223,2001-10-16T00:00:00.000,,11220,"{'type': 'Point', 'coordinates': [-74.021033, 40.646444]}",Calvary Hospital,40.646444,-74.021033,1175.0,Calvary Hospital Inc,7000011H,1740-70 Eastchester Road,,Bronx,Calvary Hospital Inc.,New York,10461,Not for Profit Corporation,Metropolitan Area Regional Office - New York City,5,New York
102,70 Dubois Street,Newburgh,35,111 East 210th Street,,Bronx,"Montefiore Health System, Inc",New York,10467.0,Orange,Hospital,HOSP,,694,1979-02-01T00:00:00.000,8455614400.0,12550,"{'type': 'Point', 'coordinates': [-74.015129, 41.503017]}",St Luke's Cornwall Hospital/Newburgh,41.503017,-74.015129,,,3522000H,19 Laurel Avenue,,Cornwall,St Luke's Cornwall Hospital,New York,12518,Not for Profit Corporation,Metropolitan Area Regional Office - New Rochelle,6,New York
103,203 Old Military Road,Lake Placid,15,,,,,New York,,Essex,Hospital,HOSP,,306,1991-01-01T00:00:00.000,5185233311.0,12946,"{'type': 'Point', 'coordinates': [-73.98455, 44.266376]}",Adirondack Medical Center-Lake Placid Site,44.266376,-73.98455,324.0,Adirondack Medical Center-Saranac Lake Site,1623001H,Lake Colby Drive,,Saranac Lake,Adirondack Medical Center,New York,12983,Not for Profit Corporation,Capital District Regional Office,4,New York
104,521 East Avenue,Lockport,31,,,,,New York,,Niagara,Hospital,HOSP,,565,1901-01-01T00:00:00.000,7165145700.0,14094,"{'type': 'Point', 'coordinates': [-78.670998, 43.176472]}",Eastern Niagara Hospital - Lockport Division,43.176472,-78.670998,,,3101000H,521 East Avenue,,Lockport,Eastern Niagara Hospital,New York,14094,Not for Profit Corporation,Western Regional Office - Buffalo,1,New York
105,1980 Crompond Road,Cortlandt Manor,59,525 East 68th Street Box 88,,New York,"NYP Community Programs, Inc.",New York,10065.0,Westchester,Hospital,HOSP,,1039,1901-01-01T00:00:00.000,9147379000.0,10567,"{'type': 'Point', 'coordinates': [-73.893341, 41.291512]}",NewYork-Presbyterian/Hudson Valley Hospital,41.291512,-73.893341,,,5901000H,1980 Crompond Road,,Peekskill,Hudson Valley Hospital Center,New York,10566,Not for Profit Corporation,Metropolitan Area Regional Office - New Rochelle,6,New York
106,16 Bank Street,Batavia,18,89 Genesee Street,,Rochester,Rochester Regional Health,New York,14611.0,Genesee,Hospital,HOSP,,340,2000-01-01T00:00:00.000,5853436030.0,14020,"{'type': 'Point', 'coordinates': [-78.181587, 42.998436]}",United Memorial Medical Center Bank Street Campus,42.998436,-78.181587,339.0,United Memorial Medical Center North Street Campus,1801000H,127 North St,,Batavia,United Memorial Medical Center,New York,14020,Not for Profit Corporation,Western Regional Office - Buffalo,1,New York
107,"2233 State Rt 86, P.O. Box 471",Saranac Lake,16,,,,,New York,,Franklin,Hospital,HOSP,,324,1991-01-01T00:00:00.000,5188914141.0,12983,"{'type': 'Point', 'coordinates': [-74.144363, 44.343929]}",Adirondack Medical Center-Saranac Lake Site,44.343929,-74.144363,,,1623001H,Lake Colby Drive,,Saranac Lake,Adirondack Medical Center,New York,12983,Not for Profit Corporation,Capital District Regional Office,4,New York
108,4802 Tenth Avenue,Brooklyn,7095,,,,,New York,,Kings,Hospital,HOSP,,1305,1901-01-01T00:00:00.000,7182836000.0,11219,"{'type': 'Point', 'coordinates': [-73.99839, 40.639423]}",Maimonides Medical Center,40.639423,-73.99839,,,7001020H,4802 Tenth Ave,,Brooklyn,Maimonides Medical Center,New York,11219,Not for Profit Corporation,Metropolitan Area Regional Office - New York City,5,New York
109,Health Sciences Center Suny,Stony Brook,51,,,,,New York,,Suffolk,Hospital,HOSP,,245,1980-01-21T00:00:00.000,6314442701.0,11794,"{'type': 'Point', 'coordinates': [-73.115198, 40.909217]}",University Hospital,40.909217,-73.115198,,,5151001H,178-50 Linden Blvd,,Jamaica,State University of New York,New York,11434,State,Metropolitan Area Regional Office - Long Island,7,New York
110,55 Palmer Avenue,Bronxville,59,,,,,New York,,Westchester,Hospital,HOSP,,1122,1901-01-01T00:00:00.000,9147871000.0,10708,"{'type': 'Point', 'coordinates': [-73.836334, 40.941673]}",NewYork-Presbyterian Hospital,40.941673,-73.836334,1458.0,New York Presbyterian Hospital - New York Weill Cornell Center,7002054H,622 West 168th Street,,New York,The New York and Presbyterian Hospital,New York,10032,Not for Profit Corporation,Metropolitan Area Regional Office - New Rochelle,6,New York
111,760 Broadway,Brooklyn,7095,,,,,New York,,Kings,Hospital,HOSP,,1692,1982-05-24T00:00:00.000,7189638101.0,11206,"{'type': 'Point', 'coordinates': [-73.941711, 40.700535]}",Woodhull Medical & Mental Health Center,40.700535,-73.941711,,,7001045H,125 Worth Street,,New York,New York City Health and Hospital Corporation,New York,10013,Municipality,Metropolitan Area Regional Office - New York City,5,New York
112,301 East Main St,Bay Shore,51,2000 Marcus Ave.,,New Hyde Park,"Northwell Healthcare, Inc.",New York,11042.0,Suffolk,Hospital,HOSP,,924,1901-01-01T00:00:00.000,6319683000.0,11706,"{'type': 'Point', 'coordinates': [-73.240372, 40.725014]}",Southside Hospital,40.725014,-73.240372,,,5154000H,Montauk Highway,,Bayshore,Southside Hospital Inc,New York,11706,Not for Profit Corporation,Metropolitan Area Regional Office - Long Island,7,New York
113,1400 Pelham Parkway,Bronx,7094,,,,,New York,,Bronx,Hospital,HOSP,,1165,1901-01-01T00:00:00.000,7189185000.0,10461,"{'type': 'Point', 'coordinates': [-73.846741, 40.857388]}",Jacobi Medical Center,40.857388,-73.846741,,,7000002H,125 Worth Street,,New York,New York City Health and Hospital Corporation,New York,10013,Municipality,Metropolitan Area Regional Office - New York City,5,New York
114,"1200 Driving Park Avenue, Box 111",Newark,58,89 Genesee Street,,Rochester,Rochester Regional Health,New York,14611.0,Wayne,Hospital,HOSP,,1028,1901-01-01T00:00:00.000,3153322022.0,14513,"{'type': 'Point', 'coordinates': [-77.102244, 43.059728]}",Newark-Wayne Community Hospital,43.059728,-77.102244,,,5820000H,Driving Park Avenue    Box 111,,Newark,Newark-Wayne Community Hospital,New York,14513,Not for Profit Corporation,Western Regional Office - Rochester,2,New York
115,56-45 Main Street,Flushing,7096,525 East 68th Street Box 88,,New York,"NYP Community Programs, Inc.",New York,10065.0,Queens,Hospital,HOSP,,1637,1901-01-01T00:00:00.000,7186701021.0,11355,"{'type': 'Point', 'coordinates': [-73.826035, 40.747517]}",NewYork-Presbyterian/Queens,40.747517,-73.826035,,,7003010H,56-36 Main Street,,Flushing,NewYork-Presbyterian/Queens,New York,11355,Not for Profit Corporation,Metropolitan Area Regional Office - New York City,5,New York
