The Brooklyn Hospital Center,,,
Charge Master Pricing,,,
,,,
The charges listed are generally not the amount a patient will pay.,,,
,,,
Charge No,Charge Description, Standard Charges ,Comment
03608833,SCREW PART THRD(MULTSIZES), 59.63 ,
03608837,SCREW CANN(S-LOK) (MULT SIZES)," 5,990.16 ",
03608838,LOCKING CAP SL1000, 667.15 ,
03608843,STEM LIMA REV DISTAL 428-16200," 16,465.84 ",
03608844,BODY LIMA REV PROX 428-00-070," 14,762.48 ",
03608845,HEAD CERAM FEM BIOLOX 40003362," 8,090.97 ",
03608847,GRAFT JACKET 4X8 86TM.4X08," 7,274.38 ",
03608855,HIP FEMPOR CTSZ15 427.32.150," 18,655.88 ",
03608856,HEAD FEM BIO DLTA CER(MULT SIZ," 7,705.69 ",
03608865,SCREW PEDICLE (MULT SIZES)," 5,862.41 ",
03608866,SCREW LOCK CAP 0954-0002, 780.71 ,
03608867,ROD 0162-1045," 1,930.48 ",
03608868,RODS MULT SIZES," 1,266.17 ",
03608869,SCREWS S-LOK CANN(MULT SIZES)," 5,990.16 ",
03608870,BIPOLAR (MULT SIZES)," 2,362.00 ",
03608871,HEAD FEMORAL (MULT SIZES)," 1,669.30 ",
03608872,STEM HIP SER 470 HA 9MM," 9,690.24 ",
03608875,MESH PROCEED 6X6 PCDM1," 1,859.82 ",
03608878,PATCH HERNIA VENTR MED 0010302," 1,632.40 ",
03608890,GRAFT JACKET TISSUE MATRIX4X4C," 4,299.52 ",
03608906,TITAN MAX ORBIT 41X42X0.85MM," 2,100.82 ",
03608908,LEAD DEXTRUS IS-1 53CM 4136," 3,903.55 ",
03608909,LEAD DEXTRUS IS1 (MULTI SIZES)," 3,903.55 ",
03608911,LOCKING CAP 201-0002, 823.29 ,
03608912,ROD MULTI-LEVEL (MULT SIZES)," 2,640.21 ",
03608915,PLATE 4H 55-10504, 234.44 ,
03608916,PLATE 4H 55-10503, 351.57 ,
03608917,SCREW 2.0X8MM SLF TAP 50-20408, 140.74 ,
03608918,SCREW 2.0X8M SLF LOCK 50-20508, 255.40 ,
03608920,PLATE 4H 55-15524, 996.35 ,
03608921,SCREW 12MM MMF 50-20362, 331.29 ,
03608926,CEMENT BONE SIMPLEX W/TOBRA," 1,416.77 ",
03608927,COMP FEM TRIA POST5515-F-401," 11,972.21 ",
03608932,SCREW CANN HEADLESS (MULT SIZE, 797.61 ,
03608935,TRAPEZOID (MULT SIZES)," 4,853.24 ",
03608938,SYSTEM MINI CHARGING EON 3721," 3,650.06 ",
03608939,VENATECH FILTER LP 5010024," 3,168.80 ",
03608943,ICD SNGL CHMBR VIT2 VR T175," 54,075.00 ",
03608948,FEMUR POST STAB SZ4 RT," 6,353.81 ",
03608949,INSERT TIB SER 500PS SZ 4/11MM," 2,596.39 ",
03608987,SLEEVE BIO DLTA OPT 400-05-004, 540.75 ,
03608991,STENT URET INLAY(MULT SIZES), 505.11 ,
03608994,COVER BURR HOLET MATRIXNEURO(M, 751.64 ,
03608995,PLATE STRUT TMATRIXNEURO 2X3," 1,262.66 ",
03609002,PACEMAKER ADAPTA SNGLCHMBR RRA," 21,143.33 ",
03609003,SHELL ACETAB FLRD W/OHOLES(MUL," 3,460.80 ",
03609030,CATH PTA BALL MUSTANG MULT SIZ, 911.30 ,
03609032,KIT TRANSOTURATOR ARIS," 2,163.00 ",
03609035,STENT ENDOPROS 16X40MM 75CM," 2,876.57 ",
03609045,MESH PROLENE 6X6IN, 319.89 ,
03609048,INSERT TIBIAL 3D SZ8X9MM392097," 7,654.91 ",
03609050,SUTURTAK MICRO BIO COMPOSITE," 1,178.84 ",
03609052,PUSHLOCK BIOCOMP 2.9MMX15.5MM," 1,468.14 ",
03609057,LINER ACETAB HXL/FMP36MM," 2,855.16 ",
03609058,HEAD FEMORAL36MM," 1,730.40 ",
03609070,MESH VENTRALLIGHT ST 7X9IN," 5,907.70 ",
03609073,PACK VITOS BA2X," 11,355.75 ",
03609075,SCREW RESTOR GAP PLATE MULT SI, 516.42 ,
03609085,OSTEOGRAFT N-300(DENTSPLY), 928.74 ,
03609086,NEUROSTIMULATOT INTERSTIM II," 26,983.43 ",
03609087,INTERSTIM LEAD KIT-MULT SIZES," 8,219.40 ",
03609088,PATIENT PROGRAMMER INTERSTIM," 3,217.46 ",
03609107,SCREW TI MATRIX NEURO 3MM, 251.45 ,
03609108,STENT LIFESTENT 7X40X80," 5,661.65 ",
03609110,IMP BREAST MP PLUS(MULT SIZES)," 2,500.97 ",
03609113,PLATE 4H FX 55-15505, 917.36 ,
03609121,MATRIX WOUND INTEGRA MESH 4X5I," 7,662.43 ",
03609123,STEM PROFEMUR ZPLASMASZ 6," 9,084.60 ",
03609124,NECK PRO FEMUR SHORT," 7,002.71 ",
03609125,GLADIATOR BIPLOAR (MULT SIZES)," 6,624.19 ",
03609126,HEAD FEMORAL LINEAGE TRANS36MM," 4,069.15 ",
03620004,PACK PIN ADVANCE EVOLUTION," 1,189.65 ",
03620012,PATELLA ADVANCE (MULT SIZES)," 2,084.60 ",
03620025,PLATE 6H MINI 55-10506, 283.95 ,
03620026,SCREW CROSS PIN BONE 1.7X5MM S, 141.49 ,
03620027,SCREW CROSS PIN BONE 1.75MM SD, 158.85 ,
03620030,PLATE 4H STRT W/BAR MDFC, 273.14 ,
03620032,PLATE FRACTURE 6H W/BAR," 1,167.35 ",
03620040,ICD INCEPTA DF4-VR," 88,142.25 ",
03620041,LEAD ENDOTAK RELIANCE4 SITEGOR," 17,047.15 ",
03620050,ANCHOR SUT BIOCOMP AR-2324BCC," 1,027.43 ",
03620055,SCREW 2.7X5MM SLF TAP, 183.67 ,
03620064,INSERT KNEE 3D 6X11 EPLUS," 7,164.94 ",
03620065,SCREW LOCKIN (MULT SIZES), 581.31 ,
03620066,PLATE OLECRANON RT 6H," 3,604.10 ",
03620067,K-WIRE 1.6MM, 27.04 ,
03620074,LINER DYNASTY 36MM," 4,731.56 ",
03620077,HIP FEM POR CT SZ 10.5," 19,588.67 ",
03620078,HEAD FEM 22MM DIA," 1,591.97 ",
03620086,SCREW SELF DRILL 4MM, 302.82 ,
03620088,PIN STEINMAN 2007-0031, 475.86 ,
03620089,SCREW CANC SELF TAP(MULT SIZES, 546.16 ,
03620090,SHELL DYNASTY 60MM," 7,570.50 ",
03620092,NECK PRO FEMUR LONG," 7,002.71 ",
03620093,PLUG APICAL HOLE, 246.05 ,
03620098,SCREW ATLANTIS 4.0X17," 1,235.62 ",
03620102,PERMACOL 3X8X0.5," 1,865.59 ",
03620106,PERMACOL 2X5X1.00, 696.22 ,
03620113,BLOCK ACHILLES TEN-BONE," 5,777.92 ",
03620120,GRAFT VASC PROPATEN 8MMX80CM," 5,561.62 ",
03620127,SYS FIBER IDC OCCLUSIONINTERLO," 1,378.91 ",
03620140,SYS STENT ILIAC/BIL6F8X37MM 75," 3,470.00 ",
03620154,PUSHLOCK 2.9MMX15.5MM AR-1923P, 919.28 ,
03620156,SCREW HEADLESS(MULT SIZES), 835.46 ,
03620157,COMPONENT FEM EVOLUTIONMP(MULT," 8,927.51 ",
03620158,BASE TIP EVOLUTION MP(MULT SIZ," 7,553.46 ",
03620159,INSERT EVOLUTION MP CS(MULT SI," 5,166.87 ",
03620160,STERIPACK CORETRAK D 40MM," 9,011.60 ",
03620161,IMPLANT CRANIAL PT SPEC PEEK," 22,752.06 ",
03620162,STENT WALLSTENT ENDOPROS 14X90," 4,613.46 ",
03620165,SET CATH  HEMO-FLOW 15.5FX32CM, 513.71 ,
03620169,PORT LO PROF MRI 0603870," 1,116.65 ",
03620170,ICD INCEPTA IS-1/DF-1-DR," 91,521.94 ",
03620171,SET CATH HEMO-FLOW 15.5FX28CM, 513.71 ,
03620175,INSERT ARTICULAR GENESISII SZ1," 7,840.88 ",
03620177,CEMENT BONE COBALT W/GENTAMYCI, 527.24 ,
03620178,KIT OPTIVAC 80GM, 337.97 ,
03620181,PACEMAKER ALTRUA 40DDDR IS-1(E," 29,457.36 ",
03620189,SCREW CANN COUNTERSINK(MULTSIZ, 694.87 ,
03620191,PACEMAKER INGENIO DR," 27,037.50 ",
03620192,PLATE DALL MILES VIT 150MM," 6,578.23 ",
03620193,SET DMV BEAD CABLE SLEEVE 2.0M," 1,378.91 ",
03620194,SLEEVEDALL MILES VIT CABLE 2.0, 611.05 ,
03620195,SCREW MULT LEVEL 6.5X45MM," 6,935.12 ",
03620196,SLEEVE DALL MILES VIT CABLE2.0, 611.05 ,
03620197,PIN FLUTED 3.5IN," 1,906.15 ",
03620203,PATCH VENTRALEX CIRCLEW/STRAP," 1,782.31 ",
03620204,ICD INCEPTA DR E162," 92,197.88 ",
03620207,ROD PREBENT 100MM," 1,324.84 ",
03620216,SCREW CROSS PIN(MULT SIZES), 163.79 ,
03620217,SCREW MULT(SIZES), 186.16 ,
03620218,PLATE 4H MINI 55-10505, 254.83 ,
03620219,PLATE 6H STR, 570.33 ,
03620220,PLATE MAND 6H FX," 1,075.12 ",
03620222,PATELLAR CMPNT CONSOVAL SZ1X10," 4,120.00 ",
03620223,INSRT TIB CONSN CNGRNT SZ3-4X1," 5,665.00 ",
03620224,COMPONENT FEMORAL RLP SZ4," 11,966.80 ",
03620225,BASEPLATE TIB STEM COCR SZ5," 7,448.84 ",
03620228,SCREW BIOCOM INTERFER(MULT SIZ, 608.35 ,
03620231,DYNASTYSHELLBIOFOAM(MULTSIZES)," 13,248.38 ",
03620250,IMP BREAST TISS EXP MEDHT6200," 3,852.85 ",
03620259,PLUG ACET DOME HOLE, 448.82 ,
03620261,SCREW CANC BONE TORX(MULT SIZE, 451.53 ,
03620263,CUP OSTEOTOME ACET 56MM," 2,565.86 ",
03620264,CUP OSTETOME ACET 46MM," 1,516.81 ",
03620268,SCREW BONE MINI ACTRAK2(MULTSZ," 1,346.73 ",
03620278,MESH FLEX COMP 10X15CM," 1,838.55 ",
03620286,IMP BREAST SILTEX RD HI PROF M," 2,575.00 ",
03620294,ENDOPROTHESIS VIABAHN 8X5," 7,197.13 ",
03620295,ENDOPROSTHESIS VIABAHN 8X10," 8,227.13 ",
03620296,ENDOPROTHESIS VIABAHN 10X5," 7,132.75 ",
03620297,ENDOPROSTHESIS VIABAHN 10X10," 7,969.63 ",
03620311,KIT BONE GRAFT INFUSE SM," 8,886.33 ",
03620312,SCREW LOCKING TI5.0 MULT SIZES, 657.55 ,
03620318,BONE CORT MINERAL GND CHIP 2.5, 306.43 ,
03620319,BONE CORT MINERAL GND 1.2, 208.58 ,
03620321,STRATTICE PLIABLE 6X8MM," 4,011.85 ",
03620323,NECK PROFEMUR PLUS SHORT8DEGVA," 4,763.75 ",
03620325,HEAD FEMORAL12/14 28MM+O," 8,446.00 ",
03620328,TIBIA STEMMED NONPOROUS  SZ 6L," 4,037.03 ",
03620329,INSERT TIBIAL SZ 8/9O+," 6,308.75 ",
03620333,DERMIS AXIS TUTPLAST 4X7CM," 2,961.25 ",
03620334,GRAFT STR VASC GORETEX 7MMX70C," 2,201.63 ",
03620359,LEAD PMKR CAPSUREFIX NOVUS 58C," 2,124.38 ",
03620360,LEAD PMKR CAPSURE SENSE 53CM," 1,931.25 ",
03620389,MESH PERFIX LIGHT PLUG XL, 843.26 ,
03620390,MESH PERFIX LIGHT PLUG LG, 730.53 ,
03620391,MESH VENTRALIGHT ST 6X8IN," 3,090.00 ",
03620395,PLATE CLAVICLE RIGHT 6 HOLE," 2,889.15 ",
03620396,SCREW CORTICAL (MULTI SIZES), 198.28 ,
03620420,ADAPTOR OFFSET BIOMET 360," 1,915.80 ",
03620425,SYSTEM REVISION VANGUARD 360 M," 2,737.23 ",
03620443,SCREW CORT LOCKING (MULT SIZES, 540.75 ,
03620455,SYSTEM IMPL ACHILLES SPEEDFRID," 6,107.90 ",
03620458,SCREW LOCKING (MULT SIZES), 679.80 ,
03620461,SCREW LOCKING 90MM," 2,031.68 ",
03620474,PLATE BOX TI MATRIX NEURO 10X1, 705.55 ,
03620476,PLATE STRAIGHT 5 HOLE," 1,488.35 ",
03620477,SCREW NON-LOCKING (MULT SIZES), 234.33 ,
03620478,SCREW LOCKING (MULT SIZES), 527.88 ,
03620482,NAIL 10X170X125-STRYK 3125-017," 6,432.35 ",
03620483,SET VENA CAVA FILTER GUNT TULI," 2,124.38 ",
03620491,MATRIX FLOWABLE WOUND 3CC," 9,429.65 ",
03620500,PLATE Y 5H, 404.72 ,
03620501,MEDPOR TIT MAX OFW 41X42X1X1MM," 3,167.25 ",
03620502,PLATE ORBITAL RIM 10H CVO, 524.30 ,
03620503,SCREW S/T (MULT SIZES0, 159.50 ,
03620505,PLATE WATERSHED LEFT," 2,562.13 ",
03620506,SCREW LOCKING (MULT SIZES), 332.18 ,
03620507,SCREW BONE NO-LOCK (MULT SIZES, 206.00 ,
03620510,TBE ARMSTR BEV GROM PAC 1.14MM, 39.09 ,
03620513,STEM HIP SERIES 470 SZ8MM," 8,569.60 ",
03620514,VALVE STRATA REGULAR," 10,171.25 ",
03620516,MATRIX FLOSEAL HEMOSTAIC 5ML, 366.61 ,
03620520,HEAD FEMORAL," 1,287.50 ",
03620527,SCREW MINI ACUTRAK 20MM," 1,225.70 ",
03620535,MESH PERFIX LGHT PLUG M 001716, 723.91 ,
03620538,SEALANT FIBRIN TISSEEL 10ML," 1,175.42 ",
03620539,TISSEAL 4ML, 478.98 ,
03620540,MATRIX FLOSEAL HEMOSTAIC 10M, 588.08 ,
03620544,STENT COLONIC WLFLX (MULT SIZE," 6,759.38 ",
03620552,SCREW CONE CANN PIN (MULT SIZE, 651.48 ,
03620566,SCREW PEEK TENODESIS 5.5MMX10M," 1,050.60 ",
03620604,CATH CROSSER CTO RECAN SYS 14S," 5,922.50 ",
03620605,APPL ENDO DUPLOSPRAY 5MMX20CM," 4,426.43 ",
03620611,PUTTY DBM HUMAN ALLOG 10CC," 1,915.80 ",
03620612,SPACER STAGE ONE CMNT MOLD 65X," 6,102.75 ",
03620616,FEMORAL TWIN PEGGED SMALL," 9,118.08 ",
03620619,ACETBLR LINER E1 36MM SZ 23," 5,340.55 ",
03620621,EXPLR IMPLT STEM W/SCRW 6MMX24," 4,426.43 ",
03620642,STENT EPIC VASCULAR 8X60X75," 3,090.00 ",
03620645,KIT IMPLANTBLE PULSE GEN SC-11," 51,371.25 ",
03620657,ACETBLR SHELL FLARES W/HOLE 54," 5,150.00 ",
03620658,ACETBLR SHELL HEMI 52MM," 5,150.00 ",
03620661,FEM STEM. 10.5MM LAT.CEMENTLES," 9,785.00 ",
03620663,FEM HD BIOLOX 36MM +0MM," 3,862.50 ",
03620664,FEM HD BIOLOX 36MM +4MM," 3,862.50 ",
03620666,TIBIAL BASEPLATE STMMD COCR SZ," 5,665.00 ",
03620667,FEM COMP RLP SZ 6," 9,785.00 ",
03620668,INSRT TIBIAL CNGRNT SZ 1-2 12M," 5,665.00 ",
03620669,INSRT TIBIAL CNGRNT SZ 1-2 X14," 5,665.00 ",
03620670,INSRT TIBIAL CNGRNT SZ 5-6 X10," 5,665.00 ",
03620671,PATELLAR COMPONENT OVAL 0X7.5," 2,487.45 ",
03620691,FEM POSTERIOR SIZE 3 RGT," 5,851.82 ",
03620694,FEMORAL HEAD +8.5 36MM 12/14TA," 6,344.16 ",
03620697,INSERT ID28MM SZ26/48MM 42E," 4,248.75 ",
03620708,FEMORAL HIP P2 POROUS  SZ12 LT," 19,183.75 ",
03620709,SHELL ACET FLARED W/HOLE 54MM," 6,952.50 ",
03620716,SHEET TENOGLIDE TENDON 4X5," 9,012.50 ",
03620717,SYS CANNISTER W/GEL 300ML," 4,120.00 ",
03620745,METACARPOPHALANGEAL IMPT SZ 10," 2,631.65 ",
03620746,METACARPOPHALANGEAL IMPT SZ 20," 2,631.65 ",
03620766,LINER CEMENTLESS 42MM," 4,248.75 ",
03620778,PLATE 2.4 LCP DIS RAD 6-H LT," 2,961.46 ",
03620792,FEM COMP CRUC  RET CEM #2," 9,785.00 ",
03620815,HEMOSTAT SOL D-STAT TOPICAL," 5,443.55 ",
03620818,PLAZMA Z STEM #2," 6,180.00 ",
03620819,SHELL BIOFOAM 50MM," 5,150.00 ",
03620832,KIT BIO-TENODESIS SCREW DISP, 643.75 ,
03620839,SCREW PEEK TENODESIS 5.5MMX8MM," 1,050.60 ",
03620848,CANNULA CRSTLPRTLTHRD 5.75MMX7, 64.38 ,
03620851,PATCH VNTRLXST M W/STRP 6/4CM2," 1,797.35 ",
03620852,MESH PERFIX LIGHT PLUG XL," 5,059.57 ",
03620853,PATCH HERNIA VNTRFLX ST SM," 1,506.38 ",
03620855,PATCH HERNIA VNTRST 11.4X11.4," 2,472.00 ",
03620856,PATCH HERNIA VNTRST M OVAL 11X," 3,283.13 ",
03620858,MESH VENTRALIGHT ST 4X6IN," 1,866.88 ",
03620866,PREC SPECTRA REMOTE CNTRL KIT," 4,248.75 ",
03620874,FEMORAL COMPONENT RLP SZ 4," 7,094.13 ",
03620875,STEM FEM STNDRD CMNTLS PLAS 12," 9,785.00 ",
03620877,INSRT ACETBLR 10DEG 36MMX58MM," 3,605.00 ",
03620894,PATELLAR COMPONENT OVAL  SZ1 7," 2,487.45 ",
03620895,TIBIAL INSERT SIZE 3-4 X 16MM," 4,257.66 ",
03620896,STABILIZING PEG TI SIZE SHORT, 798.25 ,
03620897,FEMORAL AUG POSTERIOR SZ 4:5MM," 1,735.55 ",
03620898,SCREW FLATHEAD SIZE SHORT, 798.25 ,
03620899,STEM STRAIGHT SZ 18MM X 110MM," 3,615.30 ",
03620901,TIBIAL BASEPLATE SIZE 4," 15,907.32 ",
03620902,FEMORAL COMPONENT SIZE 4," 18,799.56 ",
03620907,SCREW POLY 7.5MM X45MM," 6,051.25 ",
03620908,SCREW POLY 7.5MMX 40MM," 6,051.25 ",
03620928,DRILL 2.0MM, 579.38 ,
03620930,PLATE ANCHORING ROI-C," 7,725.00 ",
03620936,SCREW PART THRD CANN 6.5X75MM, 973.35 ,
03620937,SCREW PART THRD CANN 6.5X80MM, 973.35 ,
03620938,SCREW PART THRD CANN 6.5X85MM, 973.35 ,
03620939,SCREW BONE CANC 30MM X 6.5MM," 1,158.75 ",
03620940,STEM PRO FEMUR Z PLASMA SZ1," 5,948.25 ",
03620947,PATELLAR COMPONENT SZ2 X 10MM," 4,120.00 ",
03620954,KIT ASSESSORY COMPONENT," 2,472.00 ",
03620955,GRAFT ARTERIAL COMPONENT 6MM," 4,892.50 ",
03620956,GRAFT VENOUS OUTFLOW COMP 5MM," 11,201.25 ",
03620957,NAIL TROCHFIX TI 11X350 130 DE," 5,665.82 ",
03620962,HALF RING CARB FIB FT 180MM MR," 2,088.84 ",
03620973,SYS KNEE REVISION TIBIAL TRAY," 5,974.00 ",
03620982,PEEK INFSN SYS 50X22X12 8DEG," 13,825.18 ",
03620983,PEEK INFSN SYS 50X22X10 8DEG," 13,825.18 ",
03620984,PEEK INFSN SYS 55X22X10 8DEG," 13,825.18 ",
03620986,K-WIRE, 128.75 ,
03620991,HARMONIC STAPLER ACE36E," 12,163.97 ",
03620993,FEMORAL HEAD 36MMX0MM MED," 2,768.13 ",
03620996,IMPLANT ROI-C 6MM 12 X 14MM," 7,725.00 ",
03621010,SCREW LOCKING 2.7 X 28MM, 180.04 ,
03621022,FLOSEAL 10ML," 1,150.41 ",
03621023,FLOSEAL HEMOSTATIC MATRIX 5ML," 2,199.62 ",
03621029,SCREW LOCKING BLUE 2.5MM X 14, 332.18 ,
03621030,SCREW LOCKING 2.5 X 16MM, 332.18 ,
03621031,SCREW LOCKING 2.5 X 18MM, 332.18 ,
03621032,K-WIRE TROCAR 1.6 X 150MM, 74.68 ,
03621037,K-WIRE 035 X 100MM, 90.13 ,
03621041,SCREW QWIX 3.0MM X 16MM, 991.38 ,
03621050,OLIVE WIRE 1.1MM X 100MM, 244.63 ,
03621052,DRILL CANN 4.0MM LONG, 746.75 ,
03621054,K-WIRE 150MM, 115.88 ,
03621055,PLATE WATERSHED RIGHT," 2,562.13 ",
03621056,SCREW BONE NON LOCK 2.5MM X 22, 206.00 ,
03621057,SCREW BONE NON LOCK 2.5MM X 20, 206.00 ,
03621058,SCREW BONE NON LOCK 2.5MM X 18, 206.00 ,
03621059,SCREW BONE NON LOCK 2.5MM X 10, 206.00 ,
03621062,SCREW QWIX FX 3.0MM X 28MM LG, 991.38 ,
03621066,KIT LEAD INFINION 70CM 16 CONT," 9,785.00 ",
03621067,KIT SPLITTER 30CM 2 X 8," 3,669.38 ",
03621069,KWIRE 2.5MM, 103.00 ,
03621070,COUNTERSINK 2.5MM," 1,022.28 ",
03621077,SPACER LAT PEEK 8 45X22X10," 13,825.18 ",
03621078,SPACER LAT PEEK 8 45X18X10," 13,392.58 ",
03621079,K-WIRE, 128.75 ,
03621081,INSRT TRIBAL PCL SUNS SZ1-2 10," 5,665.00 ",
03621087,STENT EPIC VASCULAR 10X60X75," 3,090.00 ",
03621088,PLUG PERFIX LIGHT SMALL," 5,034.07 ",
03621090,FEMORAL COMPONENT SIZE 2," 11,396.95 ",
03621103,SHELL ACET FLARED W/HOLES 50MM," 5,150.00 ",
03621104,FEMORAL HEAD 32MM +-0MM," 3,862.50 ",
03621105,INSERT ACET 20DEG 32MMX50MM," 3,605.00 ",
03621106,TIBIAL BASEPLATE STEMMED SZ 4," 5,665.00 ",
03621117,FEMORAL STEM SIZE 4 X 121MM," 7,789.38 ",
03621121,SCREW CANN QUICK FIX 2.4MMX18M, 460.93 ,
03621122,SCREW MULTI LEVEL 6.5MM X 50MM," 6,604.88 ",
03621128,VIABAHN ENDOPROTHESIS 7X10X7FR," 8,631.40 ",
03621129,VIABAHN ENDOPROTHESIS 7X15X8FR," 9,687.15 ",
03621130,VIABAHN ENDOPROTHESIS 6X10X6FR," 8,631.40 ",
03621132,VIABAHN ENDOPROTHESIS 8X10X8FR," 8,631.40 ",
03621133,VIABAHN ENDOPROTHESIS 6X15X7FR," 9,949.80 ",
03621135,VIABAHN ENDOPROTHESIS 8X15X8FR," 9,949.80 ",
03621143,STENT EPIC VASCULAR 6X60X120," 3,090.00 ",
03621146,MESH VENTRALIGHT ST 6CM X 8CM," 3,270.25 ",
03621157,TIMBERLINE FSN SYS 22X8X55 8DE," 13,825.18 ",
03621159,"ROD, 30MM BALL END"," 1,879.75 ",
03621172,IMPLANT DENTAL LEGACY 3.7MMX11, 450.63 ,
03621176,SCREW CAPTURE 3.0 X 18MM, 785.38 ,
03621179,SCREW ASNIS 3.0X15MM, 713.28 ,
03621180,SCREW ASNIS 3.0X16MM, 713.28 ,
03621181,SCREW ASNIS 3.0X17MM, 713.28 ,
03621182,SCREW ASNIS 3.0X18MM, 713.28 ,
03621183,SCREW ASNIS 3.0X19MM, 713.28 ,
03621184,SCREW ASNIS 2.0X18MM, 713.28 ,
03621186,PLATE UTILITY 4-HOLE," 4,853.88 ",
03621187,SCREW LCKNG 3.0X14MM, 690.10 ,
03621188,"SCREW LCKNG 3.,0X12MM", 690.10 ,
03621190,SSCREW NONLCKNG 3.0X12MM, 473.80 ,
03621191,SCREW NONLCKNG 3.0X14MM, 473.80 ,
03621192,K-WIRE 1.6MM, 123.60 ,
03621193,WIRE ALIVE, 321.88 ,
03621195,FEMORAL CR 67.5MM LEFT," 10,444.20 ",
03621198,SCREW LCKNG 2.3X18MM, 267.80 ,
03621199,SCREW LCKNG 2.3X16MM, 267.80 ,
03621201,K-WIRE 054MM, 38.63 ,
03621205,FEMORAL CMPNNT RLP CMNTD SZ4," 9,785.00 ",
03621209,TIBIAL INSERT SIZE 1-2 X 10MM," 3,710.58 ",
03621213,MESH VENTRALIGHT ST 8CM X 10CM," 5,536.25 ",
03621220,SCREW LOCKING BLUE 2.5MM X 22, 664.35 ,
03621221,SCREW BONE  NON LOCK 2.5MM X 1, 206.00 ,
03621222,SCREW BONE 3.5MM X 12MM, 103.00 ,
03621223,SCREW CANCELLOUS 3.5MM X 14MM, 90.13 ,
03621225,PLATE TUBULAR 8 HOLE 1/3 INCH, 254.93 ,
03621226,STENT EPIC VASCULAR 8X30X75," 3,090.00 ",
03621227,PEEK 10 X 18 X 50 8 DEG," 13,392.58 ",
03621243,PATTELLA 26MM X 8MM," 1,418.83 ",
03621247,K-WIRE SHARP, 128.75 ,
03621256,ROD PREBENT 40MM 299-0640," 1,879.75 ",
03621258,SCREW CORTICAL 3.5X16MM, 128.75 ,
03621260,SCREW LCKNG 3.5X14MM, 406.85 ,
03621262,TAK BB, 110.73 ,
03621277,SCREW ST 1.2X5MM, 164.59 ,
03621278,PLATE 4-HOLE, 257.55 ,
03621279,SCREW CANNULATED 3.0 X 16MM, 412.00 ,
03621280,TIBIAL INSERT CNGRNT SZ 3-4X14," 3,710.58 ",
03621282,TIBIAL INSERT CNGRNT SZ3-4 X12," 5,665.00 ",
03621284,LINER ACETABULAR 36MMX5MM," 6,180.00 ",
03621285,SCREW 6.5MMX45MM, 399.13 ,
03621290,SCREW POLY CANN 5.5MMX45MM," 6,051.25 ",
03621291,STEM MOLD 9MMX125MM," 4,616.98 ",
03621303,STENT EPIC VASCULAR 9X61X75," 3,090.00 ",
03621321,STENT EPIC VASCULAR 6X100X120," 3,090.00 ",
03621324,"PROFEMUR NECK 8"" A/R LONG"," 4,763.75 ",
03621325,SHELL DYNASTY BIOFOAM MED 54M," 7,828.00 ",
03621330,SCREW W/SHEATH 8 X 23MM, 579.38 ,
03621336,SCREW CORTEX NON-LCK 2.5X24MM, 206.00 ,
03621341,FEM STEM STNDRD CMNTLS PLSM 9M," 9,785.00 ",
03621343,TIBIAL INSRT PCL SBSTITSZ5-610," 4,258.02 ",
03621348,STEM STRAIGHT CMNTLSS SZ20 150," 3,615.30 ",
03621356,SCREW MLR POLYAXIAL 7.5X45MM," 6,823.75 ",
03621360,SYS SLING MINIARC PRECSE SNGLI," 4,287.38 ",
03621362,SURGIFLO MATRIX PLUS FLEX TIP," 2,784.28 ",
03621365,SCREW BONE 2.3 X14MM, 334.75 ,
03621366,SCREW BONE 2.3 X10MM, 334.75 ,
03621367,SCREW LCKNG  2.3 X12MM, 386.25 ,
03621368,SCREW LCKNG  2.3 X13MM, 386.25 ,
03621370,PLATE 3-HOLE," 1,738.13 ",
03621372,STENT EPIC VASCULAR 6X120X120," 3,502.00 ",
03621383,SCREW CANN 3.0MMX24MM, 437.75 ,
03621384,BONE VOID FILLER 5CC," 4,274.50 ",
03621386,FEMORAL COMPONENT SIZE 5," 9,785.00 ",
03621387,TIBIAL BASE STEMMED CO CR SZ6," 5,665.00 ",
03621390,HEAD V40 COCR LFIT 22.2MM," 3,126.05 ",
03621391,LINER FOR MDM LINER 22.2MM/38D," 6,501.88 ",
03621393,LINER MDM COCR 38MM," 8,252.88 ",
03621397,BONE CEMENT COBALT HV 40G, 172.53 ,
03621401,SCREW LCKNG 2.7X16MM, 450.63 ,
03621404,SCREW LCKNG 2.7X20MM, 450.63 ,
03621406,TWIST DRILL 2.0 X 105MM, 424.88 ,
03621407,SCREW BONE NON-LCKNG 2.7X14MM, 334.75 ,
03621411,K-WIRE 2.0MM, 115.88 ,
03621412,PUTTY DBM OSEOSELECT 5CC," 1,493.50 ",
03621414,TRAY MEDIAL TIBIAL SIZE B," 6,159.40 ",
03621500,ROD 5.5MM PREBENT W/O TIP 80MM," 1,751.00 ",
03621591,ROD 5.5MM PREBENT W/O TIP 40MM," 1,751.00 ",
03621700,INSERT TIB CR RETAIN14X71/75MM," 3,754.35 ",
03621736,CATH GOLD PROBE HEMO 7FX210CM, 978.50 ,
03621812,HYDRATOME RX44 450CM 4.4FX20MM," 1,320.98 ",
03624073,COMP TIB INSRT THK 16MM SZ 3," 7,721.14 ",
03624624,COMP STEM FEM REV SZ 4 250MM," 14,750.89 ",
