The Bellevue Hospital Charge Listing Effective 01/01/2019,,
Description,Amount,
CS GUIDEWIRE .025ST TFEC,177.70 ,
CS GUIDEWIRE .025X180,197.20 ,
CS GUIDEWIRE .025X450 AN,407.30 ,
CS GUIDEWIRE .035 ST TFE,177.70 ,
CS GUIDEWIRE .035X150 S,183.60 ,
CS GUIDEWIRE .035X150 ST,171.00 ,
CS GUIDEWIRE .035X450 AN,611.30 ,
CS GUIDEWIRE .038X150 ST,61.00 ,
CS GUIDEWIRE .062 WITH TROCAR TIP,54.00 ,
CS GUIDEWIRE 0.86MM W LASER LINE SS,54.00 ,
CS GUIDEWIRE 035X150CM ANGLED 3CM FLEX T,158.00 ,
CS GUIDEWIRE 035X180CM ANGLED 3CM FLEX T,212.00 ,
CS GUIDEWIRE 1.1,65.00 ,
CS GUIDEWIRE 1.25 MM,115.02 ,
CS GUIDEWIRE 1.5MM,583.00 ,
CS GUIDEWIRE 200CM,339.20 ,
CS GUIDEWIRE ANCHORAGE 1.6x150mm,86.00 ,
CS GUIDEWIRE ANKLE ARTHROSCOPY 1.6MM,90.00 ,
CS GUIDEWIRE AQUA 035X150,206.60 ,
CS GUIDEWIRE BALL TIPPED STERILE 3X800MM,454.00 ,
CS GUIDEWIRE BEAD TIPPED 3.1MMX500,405.00 ,
CS GUIDEWIRE CURVED NEWT,58.70 ,
CS GUIDEWIRE DBL TROCAR TIP 1.1MM,72.00 ,
CS GUIDEWIRE DOUBLE ENDED 1.4,65.00 ,
CS GUIDEWIRE HYDRO .35X150,152.60 ,
CS GUIDEWIRE HYDRO .38X150,171.70 ,
CS GUIDEWIRE NEWTON CERE,45.90 ,
CS GUIDEWIRE SMOOTH TIPPED STERILE 3X800,446.00 ,
CS GUIDEWIRE STD .38X150,145.70 ,
CS GUIDEWIRE STF.038X150,145.70 ,
CS GUIDEWIRE STR 150,84.50 ,
CS GUIDEWIRE THREADED 2.0MM,274.00 ,
CS GUIDEWIRE TROCAR TIPPED 3.1X400MM,405.00 ,
CS GUIDEWIRE UNTHREADED 3.2MMX230MM,416.00 ,
CS GUIDEWIRE W TROCAR .034,79.00 ,
CS GUIDEWIRE W TROCAR .045,79.00 ,
CS GUIDEWIRE W TROCAR TIP .045 LASER LIN,54.00 ,
CS GUIDEWIRE W TROCAR TIP .062,54.00 ,
CS GUIDEWIRE W TROCAR TIP .078X8,90.00 ,
CS GUIDEWIRE W TROCAR TIP DIA 1.35MM,54.00 ,
CS GUIDEWIRE ZEBRA .035,413.10 ,
CS GUIDEWIRE.032 150,79.60 ,
CS GUIDEWORE THREDED W TROCAR TIP 1.35MM,72.00 ,
CS GUIDEWR .035X150,103.00 ,
CS GUN BIOPSY DISP,245.00 ,
CS HALL STERILE MODIFIED MODULAR SHAFT 4,"1,998.00 ",
CS HANDLE DISP NEOPROBE,510.00 ,
CS HANDLE ENT BOVIE 8F,37.80 ,
CS HANDLE LIGASURE ATLAS,"1,691.50 ",
CS HANDLE LIGASURE MAX,871.50 ,
CS HANDLE LIGASURE PRECI,"1,148.10 ",
CS HANDLE LIGASURE V,"1,776.10 ",
CS HANDPIECE ALTRUS 5MMX23CM,"2,340.00 ",
CS HANDPIECE ALTRUS 5MMX36CM,"2,330.60 ",
CS HANDPIECE ALTRUS LARGE,"2,574.00 ",
CS HANDPIECE ALTRUS SMALL,"2,714.00 ",
CS HANDPIECE INTERPULSE O,135.00 ,
CS HANDPIECE INTERPULSE P,108.20 ,
CS HANDPIECE MINERVA SURGICAL SINGLE,"2,625.00 ",
CS HANDPIECE SGL FUNCTION,195.30 ,
CS HANDPIECE STX 9GA,836.60 ,
CS HANDPIECE STX 9GAT,864.00 ,
CS HANDPIECE TIP FAN SPRY,41.00 ,
CS HANDPIECE TIP SOFT TIS,77.70 ,
CS HANDPIECE TIP WND TURN,45.00 ,
CS HANDPIECE TRIPLE OPT,207.10 ,
CS HANDPIECE US 12GA,792.00 ,
CS HANDPIECE US 9GA,792.00 ,
CS HANDPIECE YX MICROCHIP TENEX,"2,754.00 ",
CS HARVESTOR BONE 10MM,"1,429.20 ",
CS HARVISTOR BONE 9MM,"1,242.00 ",
CS HEAD CERAMIC FEMORAL 5.0 32MM,"7,112.00 ",
CS HEAD FEMORAL 12 14 32 MM,"2,283.20 ",
CS HEAD FEMORAL 12 14 32MM,"2,283.20 ",
CS HEAD FEMORAL 28MM,"3,340.80 ",
CS HEAD FEMORAL 32MM,"6,228.00 ",
CS HEAD FEMORAL 32MM,"3,438.70 ",
CS HEAD FEMORAL 32MM,"3,438.80 ",
CS HEAD FEMORAL 36MM,"3,598.00 ",
CS HEAD FEMORAL 36MM,"3,598.00 ",
CS HEAD FEMORAL CERAMIC 36MM,"6,570.00 ",
CS HEAD HUMERAL 44 17,"6,250.00 ",
CS HEAD REST 9IN ADULT,9.00 ,
CS HEAD REST 9IN CHILD,6.40 ,
CS HEAD SELF CENTERING BI POLAR 28MM,"2,708.00 ",
CS HEADED REAMER 5MM CANNULATED,774.00 ,
CS HEADGEAR LARGE,116.10 ,
CS HEADGEAR MEDIUM,116.10 ,
CS HEADREST 7 IN W SLOT,41.00 ,
CS HEADREST 7IN,33.30 ,
CS HEALICOIL PK 4.5MM W ULTRA TAPE,"2,160.00 ",
CS HEATER HYDRATOR INSUF,276.70 ,
CS HEEL OR ELBOW PROTECTOR,15.30 ,
CS HEMAMYST MISTING ADAP,204.00 ,
CS HEMCON DENTAL DRESSING,101.00 ,
CS HEMOCLIP ENDO INSTINCT,882.00 ,
CS HEMOSTAT ARISTA ABSORB 1 GRAM,490.00 ,
CS HEMOSTAT D STAT FLOWAB,414.00 ,
CS HEMOSTAT SURGICAL 4.5ML,"1,928.20 ",
CS HEMOSTAT VITASURE ABSORB,965.00 ,
CS HEMOVAC SNYDER MD,157.30 ,
CS HEMOVAC SNYDER TROCAR,82.00 ,
CS HEMOVAV SYNDER LG,157.30 ,
CS HIP FITMORE B 5 12 14,"10,395.00 ",
CS HIP FITMORE STEM A SIZE 3,"10,395.00 ",
CS HIP FITMORE STEM A SIZE 8,"10,395.00 ",
CS HIP FITMORE STEM B EXT SIZE 7,"10,395.00 ",
CS HIP FITMORE STEM B SIZE 4,"10,395.00 ",
CS HIP FITMORE STEM XZ 3,"10,395.00 ",
CS HIP FITMORE STEMA SZ 6,"10,395.00 ",
CS HIP STEM UNCEMENTED B EXTENDED,"10,395.00 ",
CS HOLDER ENDO LOK,37.20 ,
CS HOLDER ENDO TUBE,10.10 ,
CS HOLDER FOLEY CATH LF,15.80 ,
CS HOLDER INFANT LIMB DOUBLE,7.80 ,
CS HOLDER TRACH NECK BAN,7.40 ,
CS HOLDER TRACH TUBE,11.70 ,
CS HOLMIUM FIBERS,"1,030.40 ",
CS HOOD DISP INF O2,38.00 ,
CS HOOD STRYKER STERI,71.00 ,
CS HOOK PLATE UNI 5TH METARSAL,"3,305.00 ",
CS HOSE DISP AIR SPU VEST,25.00 ,
CS HOSE KNEE LG,9.80 ,
CS HOSE KNEE MD,9.80 ,
CS HOSE KNEE SM,9.80 ,
CS HOSE KNEE XLG,9.80 ,
CS HOSE THIGH LG,24.20 ,
CS HOSE THIGH M,18.90 ,
CS HOSE THIGH SM,24.20 ,
CS HOSE X LRG TH,32.70 ,
CS HS FOCUS 9CM CURVED SHEAR,"2,273.00 ",
CS HUMERAL HEAD OFFSET 18MM,"6,095.00 ",
CS HUMERAL INSERT 36,"3,625.00 ",
CS HUMERAL INSERT S/36 TO FIT 36 CUP,"2,538.00 ",
CS HUMERAL INSERT TO FIT 36 CUP,"3,625.00 ",
CS HUMERAL STEM SIZE 9 REVERS,"8,875.00 ",
CS HUMID VENT 2,7.40 ,
CS HUMIDIFIER HYGROSCOPI,6.60 ,
CS ICE PACK EENT,13.00 ,
CS IMMOBILIZER SHOULDER,26.00 ,
CS IMPLANT ANGLED 3.0X19MM HT,"2,880.00 ",
CS IMPLANT BREAST 500CC SALINE 350 3500,"1,620.00 ",
CS IMPLANT BREAST SRM 175CC,"1,620.00 ",
CS IMPLANT COAPTIT 1CCIN,756.00 ,
CS IMPLANT CONTIGIN,"1,259.80 ",
CS IMPLANT DEL SYS DISTAL BICEPS REPAIR,"3,060.00 ",
CS IMPLANT DELIVERY SYS DISTAL BICEPS,"2,750.00 ",
CS IMPLANT MENISCAL APPL,511.20 ,
CS IMPLANT SALINE BREAST SM RD HP,"1,620.00 ",
CS IMPLANT SALINE BREAST SR 330 AND0HP,"1,620.00 ",
CS IMPLANT TIS TAK II 30,714.00 ,
CS IMPLANT TIS TAK II ST,672.00 ,
CS IMPLANTS BREAST 450CC EX,"3,000.00 ",
CS INCUS WEHRS DBL 10.2MM,"1,474.10 ",
CS INCUS WEHRS DOUBLE LON,"1,564.70 ",
CS INCUS WEHRS DOUBLE MED,"1,474.10 ",
CS INCUS WEHRS SINGLE 2.1,"1,415.40 ",
CS INCUS WEHRS SINGLE LON,"1,415.40 ",
CS INDERMIL SKIN ADHESIV,70.70 ,
CS INDICATOR CO2 30MM,47.00 ,
CS INFLATOR ENCORE,151.20 ,
CS INFLATOR ENCORE710 113,129.90 ,
CS INFLATOR LOVEEN 20CC,244.10 ,
CS INFLUX DEMINERALIZED BONE FIBERS,"1,746.00 ",
CS INJ BONE CEMENT,44.40 ,
CS INQU PASTE MIX PLUS 1.25CC,"2,102.00 ",
CS INQU PASTE MIX PLUS 10CC,"5,450.00 ",
CS INQU PASTE MIX PLUS 2.5CC,"2,905.00 ",
CS INQU PASTE MIX PLUS 5CC,"3,265.00 ",
CS INSER A TRAC,64.80 ,
CS INSERT CADENCE SIZE 3 RIGHT 8MM NEUTR,"7,420.00 ",
CS INSERT DISPOSABLE FOA,90.00 ,
CS INSERT GRASPER 10MM,172.80 ,
CS INSERT GRASPER 20 5M,801.00 ,
CS INSERT REPL FOAM,156.40 ,
CS INSERT SIZE 3 RIGHT 6MM NEUTRAL,"7,420.00 ",
CS INT LONG GTR W 4 CBLS 23X121MM,"6,273.00 ",
CS INT SHT GTR W 2 CBLS 23X53MM,"3,939.75 ",
CS INTEGRA BILAYER WOUND MATRIX 2X2 SQ C,"2,250.00 ",
CS INTEGRA FLOWABLE WOUND MATRIX 3CC,"3,761.00 ",
CS INTERNALBRACE LESFRANC REPAIR KIT,"3,738.00 ",
CS INTRA OCULAR LENS,540.00 ,
CS INTRODUCER 7FX11CM,61.20 ,
CS INTRODUCER ACCUSTICK,356.40 ,
CS INTRODUCER BOUGU 15X70,22.50 ,
CS INTRODUCER TRACHEAL T,23.00 ,
CS INTUBATION MODUDLE ORA,135.00 ,
CS INTUBATION MODULE BLUE,135.00 ,
CS INTUBATION MODULE GREE,135.00 ,
CS INTUBATION MODULE PURP,135.00 ,
CS INTUBATION MODULE RED,135.00 ,
CS INTUBATION MODULE WHIT,117.00 ,
CS INTUBATION MODULE YELL,135.00 ,
CS INTUBATOR WILLIAMS 10C,12.20 ,
CS INTUBATOR WILLIAMS 9CM,12.20 ,
CS IOL SPECIAL,"1,015.00 ",
CS IRR H2O 1000ML,11.00 ,
CS IRR H2O 3000 ML,26.00 ,
CS IRR SALINE 1000,11.00 ,
CS IRR SALINE 3000ML,23.00 ,
CS IRR SOL GLYCIN 3000,29.00 ,
CS IRRIG SUCT STRYKER FL,191.00 ,
CS IRRIGATION H2O 1000CC,14.00 ,
CS IRRIGATION SALINE 500,11.00 ,
CS IRRIGATOR ENDO FLO,223.70 ,
CS ISTENT TRABECULAR MICRO BYPASS,"4,875.00 ",
CS IV MODULE BLUE,130.00 ,
CS IV MODULE GREEN,129.60 ,
CS IV MODULE ORANGE,162.00 ,
CS IV MODULE PURPLE,130.00 ,
CS IV MODULE RED,130.00 ,
CS IV MODULE WHITE,130.00 ,
CS IV MODULE YELLO,120.60 ,
CS IV SET EXT LOOP,2.80 ,
CS JOINT GREAT TOE M P 20MM,"4,500.00 ",
CS JOINT TOE NPC MD,"3,062.50 ",
CS JOINT TOE NPC MS,"3,062.50 ",
CS JOINT TOE NPC SM,"3,188.00 ",
CS JOINT TOE POROUS COATED COBALT CHROME,"4,438.00 ",
CS K WIRE .045X4,76.00 ,
CS K WIRE 0.6MM,50.00 ,
CS K WIRE 1.6 THREADED,151.00 ,
CS K WIRE 1.6MM,108.00 ,
CS K WIRE 1.6MMX150MM,101.00 ,
CS K WIRE 2.0MM,30.31 ,
CS K WIRE ASNIS MIRCO,209.00 ,
CS K WIRE PER-LOC 1.25MM,159.00 ,
CS K WIRE SINGLE ENDED TROCAR TIP 1.1X15,86.00 ,
CS K WIRE SMOOTH 1.6MMX180MM,138.60 ,
CS K WIRE SMOOTH 2.8MMX230MM,151.20 ,
CS K WIRE STERILE,297.00 ,
CS K WIRE TRC POINT 1 END 0.6MMX70,302.90 ,
CS K WIRE TRC POINT 1 END 0.8MMX70,302.90 ,
CS K WIRE TRC POINT 1 END 1.25 MM X 150,302.94 ,
CS K WIRE TRC POINT 1 END 1.25 MM X 150,302.94 ,
CS K WIRE TRC POINT 1 END 1.6 MM X 150,302.94 ,
CS K WIRE TRC POINT 1 END 1.6 MM X 150,302.94 ,
CS K WIRE TRC POINT 1 END 2.0 MM X 150,302.90 ,
CS K WIRE TROCAR POINT,22.00 ,
CS KIT 1ST FX XPANDER TRA,"7,398.30 ",
CS KIT 50CM CONTACT LEAD,"2,520.00 ",
CS KIT ABG TEST,4.00 ,
CS KIT ACHILLES TENDON REPAIR 4.5MM ANCH,"3,300.00 ",
CS KIT ADDITIONAL FRACTUR,"5,820.00 ",
CS KIT BALLOON FLOAT CAT,724.00 ,
CS KIT BIOCARTILAGE SMALL JOINT,882.00 ,
CS KIT BREAST BIOPSY,29.00 ,
CS KIT BREAST BIOPSY DRAP,83.70 ,
CS KIT CAPNOCHECK PT ATTACH,22.00 ,
CS KIT CAPNOCKHECK ATTACH,19.30 ,
CS KIT CATH DILA HI PR 4,884.00 ,
CS KIT CATH DILAT H PR10,884.00 ,
CS KIT CATH FEMALE,7.80 ,
CS KIT CATH PEDIATRIC,19.00 ,
CS KIT CATH SUC 14FR,2.40 ,
CS KIT CENTRAL LINE DRS,8.70 ,
CS KIT CO2 ACCES AIRWAY,59.90 ,
CS KIT CONTACT LEAD 50CM 8,"4,960.00 ",
CS KIT CONTACT LEAD 70CM 8,"4,960.00 ",
CS KIT CRICOTHYROTOMY,"1,723.00 ",
CS KIT DISP 3X8 TENODESIS SCREW,720.00 ,
CS KIT DISP FOR PUSHLOCK,630.00 ,
CS KIT DISP FOR RETROFUSION SCREW,"1,620.00 ",
CS KIT DISP FOR RETROFUSION SCREW,"1,620.00 ",
CS KIT DISP INSTRUMENT FOR MICRO S-TAK,630.00 ,
CS KIT DISP INSTRUMENT FOR MINI S-TAK,630.00 ,
CS KIT DRAINAGE 500ML PLEURX,242.40 ,
CS KIT DRSG GLASSCOCK AD,50.00 ,
CS KIT DRST GLASSCOCK PE,50.00 ,
CS KIT ENDO FLO,487.40 ,
CS KIT ENDO FLO W CON TB,276.00 ,
CS KIT ENDO GASTROCNEMIUS RECESSION,"2,160.00 ",
CS KIT FILTER BLUE PFT,10.60 ,
CS KIT FILTERED ISO VALV,23.00 ,
CS KIT GASTROSTOMY,272.00 ,
CS KIT GYNECOLOGICAL,403.00 ,
CS KIT HEMOVAC COMPONENT,36.00 ,
CS KIT HICK REPAIR,270.00 ,
CS KIT HUMIDIFIER,4.20 ,
CS KIT IMPLATABLE PULSE GEN,"29,296.00 ",
CS KIT IN LINE INJEC,30.00 ,
CS KIT INSERTION FOR 2.9MM PUSHLOCK,792.00 ,
CS KIT INST MONOPTY BIOP 16,183.60 ,
CS KIT INSTR SCREW BIO,900.00 ,
CS KIT INTBRACE LIGAMENT AUGMENTATION,"3,510.00 ",
CS KIT INTERP ANEST,84.50 ,
CS KIT INTRA OCULAR LENS DISPOSABLE,"1,602.00 ",
CS KIT INVISIKNOT ANKLE FRACTURE,"2,795.00 ",
CS KIT JACKSON TABLE,156.80 ,
CS KIT LAMINECTOMY,122.40 ,
CS KIT LASER FIBER EVLT 65CM,975.00 ,
CS KIT LASER FIBER EVLT 90 CM,975.00 ,
CS KIT LINEAR 8 CONTACT LEAD,"4,960.00 ",
CS KIT LTA,17.40 ,
CS KIT MICRO INTRODUCER,209.00 ,
CS KIT MINISTICK 5FR,159.60 ,
CS KIT MINISTICK 6FR,159.60 ,
CS KIT MORPHEUS DUEL 5FR,378.00 ,
CS KIT MOUTHSEAL,4.60 ,
CS KIT MRI DISP,66.40 ,
CS KIT NEPHROSTOMY 10 25,676.80 ,
CS KIT NEPHROSTOMY 8 25,640.80 ,
CS KIT NEPHROSTOMY C 12F,792.00 ,
CS KIT NERVE BLOCK STIM C,391.00 ,
CS KIT ORAL CARE,55.70 ,
CS KIT OSTEOSET BEAD FAS,"2,466.00 ",
CS KIT OSTEOSET BEAD STA,"3,474.00 ",
CS KIT PATIENT ATTACHMEN,19.90 ,
CS KIT PATIENT TRIAL,297.00 ,
CS KIT PERC INSERTION FOR 3.0,702.00 ,
CS KIT PICC INTRODUCER 5F,108.00 ,
CS KIT PICC INTRODUCER 6F,108.00 ,
CS KIT PICC LN DL LUMEN 55,414.00 ,
CS KIT PRECISION CHARGING SYSTEM,"6,205.00 ",
CS KIT PRECISION PATIENT PROGRAMMER,"3,556.80 ",
CS KIT PREP NO. 3 FLEET,22.10 ,
CS KIT PYLORITEK TEST,14.80 ,
CS KIT QUICK PRESSUR,133.60 ,
CS KIT RADIAL ARTER,87.00 ,
CS KIT REMOTE CONTROL,"3,556.80 ",
CS KIT SEXUAL ASSULT,51.50 ,
CS KIT SHEATH INTRO TEARA,108.00 ,
CS KIT SHOULDER CARE,117.60 ,
CS KIT SPECTRA PATIENT TRIAL,297.00 ,
CS KIT STENT 6X26,482.60 ,
CS KIT STENT 6X26,544.00 ,
CS KIT STERILE VEIN,160.00 ,
CS KIT SUSP SHOLDER,224.20 ,
CS KIT SUTURE TAK,576.00 ,
CS KIT THORACENTESIS,148.00 ,
CS KIT TRACH,6.50 ,
CS KIT TRACH II MINI,78.00 ,
CS KIT TRANSTIBIAL ACL,748.80 ,
CS KIT TRIAL LEAD INFINION 50CM,"3,600.00 ",
CS KIT TRIMANO ARM HOLDER,270.00 ,
CS KIT TUM E VAC LAV,63.30 ,
CS KIT VENA CAVA FILTER,"2,614.50 ",
CS KIT VENACURE PROC,"1,260.00 ",
CS KIT VENOUS ULCER UNNA,39.90 ,
CS KIT WILSON FRAME,180.00 ,
CS KN FEM COMP LPS FX B RT,"10,093.00 ",
CS KN FEM COMP LPS FX CLT GSF,"10,233.40 ",
CS KN FEM COMP LPS FX CRT,"10,233.40 ",
CS KN FEM COMP LPS FX GLT GSF,"10,233.40 ",
CS KN FEM COMP LPS FX GRT GSF,"10,233.40 ",
CS KNEE ART SURF A B 100 1 2,"4,986.20 ",
CS KNEE ART SURF A B 12 MM,"4,986.20 ",
CS KNEE ART SURF A B 17 MM .5,"4,986.20 ",
CS KNEE ART SURF A B 20 MM .5,"4,986.20 ",
CS KNEE ART SURF C D 12MM .5,"4,986.20 ",
CS KNEE ART SURF C D 17MM .5,"4,986.20 ",
CS KNEE ART SURF C D 20MM .5,"4,986.20 ",
CS KNEE ART SURF C/D 10MM .5,"4,986.20 ",
CS KNEE ART SURG A B 14MM .5,"4,986.20 ",
CS KNEE FEM COMP LPS A LEFT,"6,003.30 ",
CS KNEE FEM COMP LPS A RT,"10,093.00 ",
CS KNEE FEM COMP LPS FLEX BL,"10,093.00 ",
CS KNEE FEM COMP LPS FXDLT GSF,"10,233.40 ",
CS KNEE FEM COMP LPS H RT,"6,003.30 ",
CS KNEE FEM COMP SIZE E L,"6,003.30 ",
CS KNEE FEMORAL COMP CR FLEX GSF F LEFT,"10,898.60 ",
CS KNEE IMMOBIL 12IN,59.00 ,
CS KNEE IMMOBIL 20IN,53.00 ,
CS KNEE IMMOBIL 24IN,53.50 ,
CS KNEE IMMOBILIZER 16IN,57.00 ,
CS KNEE POLY PAT MICRO 26,"2,391.70 ",
CS KNEE POLY PAT MICRO 29,"2,391.70 ",
CS KNEE POLY PAT MICRO 32,"2,391.70 ",
CS KNEE POLY PAT MICRO 35,"2,391.70 ",
CS KNEE SYS RIGHT 12MM,"3,245.00 ",
CS KNEE TIB COMP STEM SZ 1,"4,155.60 ",
CS KNEE TIB COMP STEM SZ 10,"4,155.60 ",
CS KNIFE DISP BAN ST,167.00 ,
CS KNIFE DISP HK STR,202.00 ,
CS KNIFE MICROSURGIC,77.10 ,
CS KNIFE MIRCROSURGERY,121.20 ,
CS KNIFE OPTH CRESCT,87.00 ,
CS KNIFE OPTH SLIT,47.90 ,
CS KNIFE TUIP,338.10 ,
CS K-WIRE .035X4IN,90.00 ,
CS K-WIRE .045X6 OSTEOMED,92.00 ,
CS K-WIRE .062X6IN,108.00 ,
CS K-WIRE .067X7.25,76.00 ,
CS K-WIRE 1.2,86.00 ,
CS KWIRE 1.25X150 SMALL FRAG TRAY,376.40 ,
CS K-WIRE 1.5X150MM,168.00 ,
CS K-WIRE 1.6,86.00 ,
CS K-WIRE 10/10 LONG 100MM,140.00 ,
CS K-WIRE 3.2 X 450MM,871.00 ,
CS K-WIRE ADDITIVE,108.00 ,
CS K-WIRE DIA 2.5 X L 270MM,385.00 ,
CS K-WIRE DIAM 1.6MM LG 200MM 1 SHARP EN,212.00 ,
CS K-WIRE SS 1.6X127MM NS,122.00 ,
CS KWIRE TRC POINT 1 END 1.0MMX150,302.90 ,
CS K-WIRE TROCAR POINT .06X70MM,37.60 ,
CS LABRAL TAPE WHITE 1.5MM 36,234.00 ,
CS LABRALTAPE WHITE BLACK 1.5MM,234.00 ,
CS LAG SCR 12.7D X 100MM SHT THD,"1,088.64 ",
CS LAG SCR 12.7D X 145MM STD THD,"1,088.64 ",
CS LAG SCR 12.7D X 150MM STD THD,"1,088.64 ",
CS LAG SCR 12.7D X 155MM STD THD,"1,088.64 ",
CS LAG SCR 12.7D X 55MM STD THD,"1,088.64 ",
CS LAG SCR 12.7D X 60MM STD THD,"1,088.64 ",
CS LAG SCR 12.7D X 65MM SHT THD,"1,088.64 ",
CS LAG SCR 12.7D X 65MM STD THD,"1,088.64 ",
CS LAG SCR 12.7D X 70MM SHT THD,"1,088.64 ",
CS LAG SCR 12.7D X 70MM STD THD,"1,088.64 ",
CS LAG SCR 12.7D X 75MM SHT THD,"1,088.64 ",
CS LAG SCR 12.7D X 75MM STD THD,"1,348.00 ",
CS LAG SCR 12.7D X 80MM SHT THD,"1,088.64 ",
CS LAG SCR 12.7D X 80MM STD THD,"1,088.64 ",
CS LAG SCR 12.7D X 85MM SHT THD,"1,088.64 ",
CS LAG SCR 12.7D X 85MM STD THD,"1,469.00 ",
CS LAG SCR 12.7D X 90MM SHT THD,"1,088.64 ",
CS LAG SCR 12.7D X 90MM STD THD,"1,347.80 ",
CS LAG SCR 12.7D X 95MM STD THD,"1,348.00 ",
CS LAG SCR 12.7D Z 95MM SHT THD,"1,088.64 ",
CS LAG SCREW 12.7D X 105MM STD THD,"1,088.60 ",
CS LAG SCREW 12.7DX100MM STD THD,"1,088.60 ",
CS LAG SCREW 12.7DX110MM STD THD,"1,088.60 ",
CS LAG SCREW 12.7DX120MM STD THD,"1,088.60 ",
CS LAG SCREW 12.7DX125MM STD THD,"1,088.60 ",
CS LAG SCREW 12.7DX130MM STD THD,"1,088.60 ",
CS LAG SCREW 12.7DX135MM STD THD,"1,088.60 ",
CS LAG SCREW Z NAIL 1.5X90,"2,558.00 ",
CS LAG SCREW Z NAIL 10.5X85,"2,558.00 ",
CS LAP SAC 8X10,132.40 ,
CS LAPIDUS WEDGE CUSTOM,"10,000.00 ",
CS LASR 6X14X11,"2,875.00 ",
CS LASSO 45 DEGREE LEFT,468.00 ,
CS LASSO 45 DEGREE RIGHT,504.00 ,
CS LCDCP 4 HOLE STRAIGHT 2.0MM,"1,134.00 ",
CS LCDCP 4 HOLE STRAIGHT 2.4MM,"1,134.00 ",
CS LCDCP 6 HOLE STRAIGHT 2.0MM,"1,134.00 ",
CS LCDCP 6 HOLE STRAIGHT 2.4MM,"1,134.00 ",
CS LCDCP 8 HOLE STRAIGHT 2.0MM,"1,134.00 ",
CS LEAD CONTACT 50CM LENEAR,"2,520.00 ",
CS LEGGINGS STERILE 6IN CU,9.10 ,
CS LENS DELIVERY SET,16.00 ,
CS LENS GLIDE,8.10 ,
CS LENS INTRA OCULAR,795.30 ,
CS LENS MEDI FL DISP,86.00 ,
CS LGCY KNEE CONDYLAR D LEFT,"22,528.00 ",
CS LIG PATELLAR BISC,"5,343.00 ",
CS LIGASURE 5MM BLUNT TIP,"1,909.40 ",
CS LIGASURE ADVANCE,"2,460.00 ",
CS LIGASURE IMPACT,"2,448.00 ",
CS LIGASURE PRECISE SM JAW,"1,634.00 ",
CS LINE ADULT CANNULA,17.40 ,
CS LINER  ACET PIN 32 MM,"4,556.00 ",
CS LINER 36MM OFFSET,"3,255.00 ",
CS LINER ACETABULAR,"4,556.00 ",
CS LINER ACETABULAR 32MM,"4,556.00 ",
CS LINER ACETABULAR 32X56MM,"4,556.00 ",
CS LINER ACETABULAR 36X62,"6,200.00 ",
CS LINER ACETABULAR NEUTRAL G7,"3,375.00 ",
CS LINER ACETABULAR PINNACLE 32MM,"5,292.00 ",
CS LINER ACETABULAR STD 36MM L,"3,255.00 ",
CS LINER ALTRX 32MM,"5,368.00 ",
CS LINER MODULAR CUP 50 52 54X32,"3,539.00 ",
CS LINER MODULAR CUP 58X36 NEUTRAL,"3,255.00 ",
CS LINER MODULAR CUP NEUTRAL 58X25,"3,255.00 ",
CS LINER MUDULAR CUP 10 DEGREES 58X36,"3,255.00 ",
CS LINER NEUTRAL 32X58,"4,556.00 ",
CS LINER POLY 30MM,"5,628.00 ",
CS LINER POLY REV SHOULDER 36X65,"4,050.00 ",
CS LINER SHOULDER 36MM,"4,213.00 ",
CS LITHO CATCH 2.2F,775.20 ,
CS LOC RAPID 12 DEGREE,799.20 ,
CS LOC RAPID O DEGREE,846.00 ,
CS LOOP BLADDER TUMOR RE,238.00 ,
CS LOOP LRG 30 DEG,"1,566.00 ",
CS LOOP MINI VESSEL,5.90 ,
CS LOOP OST BRIDGE,6.40 ,
CS LOOP VESSEL BLUE,5.90 ,
CS LPS FEMORAL COMP H LEFT,"6,003.30 ",
CS LPS FLEX FEM COMP F L,"10,233.40 ",
CS LPS FLEX FEM COMP F R,"10,233.40 ",
CS LPS FLEX FEM COMP SZ D,"10,233.40 ",
CS LPS FLEX FXD P ART 1 2 14,"3,462.60 ",
CS LPS FLEX GSF OP FEM E RT,"10,233.40 ",
CS LPS FLEX GSF OP FEM ELT,"10,233.40 ",
CS MAGELLAM PRP COMP DISP KIT,"1,627.00 ",
CS MAGELLAN MAROMAX CONVENIENCE KIT,"4,930.00 ",
CS MAGELLAN MAROMAX QUICKDRAW KIT,"5,500.00 ",
CS MAGELLAN PRP COMP ONE SOURCE KIT,"1,908.00 ",
CS MANIFOLD IPPB,6.20 ,
CS MANIFOLD STRYKER 1 PT,21.60 ,
CS MANIFOLD STRYKER 4PT,54.00 ,
CS MANIPULATOR LARGE V CARE,316.80 ,
CS MANIPULATOR MEDIUM V CARE,336.10 ,
CS MANIPULATOR PRO 45MM,252.00 ,
CS MANIPULATOR SMALL V CARE,316.80 ,
CS MANIPULATOR UTERI,110.70 ,
CS MANIPULATOR UTERINE RU,197.00 ,
CS MARK SPOT ENDOSCOPIC,130.00 ,
CS MARKER BREAST 15G,275.00 ,
CS MARKER BREAST 2ND SITE 15G,275.00 ,
CS MARKER NEEDLE BX DEPT,10.80 ,
CS MARKER SKIN W LABELS RULER,2.00 ,
CS MARKER TISSUE 10G,284.00 ,
